#ID|Name|HP|Damage|Description|SpawnChance
E01|Крыса|10|5|Огромная крыса с блестящими глазами и острыми зубами|80
E02|Лицевой хвататель|30|10|Быстрый паразит. Прыгает из темноты, пытаясь прикрепиться к лицу|60
E03|Зараженный техник|50|12|Бывший член экипажа в разорванном комбинезоне. Движется рывками|50
E04|Поврежденный дрон|70|15|Автоматический охранный бот. Его сенсоры сбоит, но пулемет исправен|40
E05|Ксеноморф|120|25|Идеальная машина для убийства. Хитиновый панцирь и длинный хвост|50
E06|Личинка-плевун|25|8|Скользкая тварь, плюется едкой слизью и лезет в щели|55
E07|Карантинный выродок|60|14|Не до конца сформировавшееся существо, но злое и очень голодное|35
E08|Слизневый ползун|40|10|Живой комок слизи: душит, липнет, оставляет кислотные ожоги|45
E09|Взбунтовавшийся андроид|90|18|Андроид в режиме ярости направляется в вашу сторону|30
E10|Андроид уборщик|80|16|Имитирует человека плохо и уже не пытается|35
E11|Ксеноморф-скитальщик|110|22|Тихий охотник, держится в тени и бьет в спину|55
E12|Автотурель ближней обороны|60|20|Стационарная турель: короткие очереди, без предупреждения|35
