#ID|Name|Type|Value|Description|SpawnChance
I01|Малый стимулятор|HEAL|20|Восстанавливает 20 HP|80
I02|Большой стимулятор|HEAL|50|Восстанавливает 50 HP|40
I03|Ключ-карта|KEY|0|Пластиковая карта с магнитным чипом. Нужна для активации шлюза|100
I04|Сломанная труба|WEAPON|5|+5 к урону|60
I05|Лазерный резак|WEAPON|15|+15 к урону|30
I06|Плазменный пистолет|WEAPON|25|+25 к урону|15
I07|Гель-регенератор|HEAL|30|Восстанавливает 30 HP|55
I08|Импульсный дробовик|WEAPON|20|+20 к урону|20
I09|Передатчик сигнала|KEY|0|Можно активировать, чтобы подать сигнал бедствия|5
I10|Гермопластырь|HEAL|15|Восстанавливает 15 HP|75
I11|ЭМИ-граната|WEAPON|12|+12 к урону|25
I12|Нанопластыри|HEAL|40|Восстанавливает 40 HP|40
