#ID|Name|Description|North|South|East|West|EnemyID|ItemID|EnvAction
R01|Аварийный шлюз|Вы приходите в себя в холодном помещении. Мигает красная лампа. Слышен гул вентиляции на севере|R02|NONE|NONE|NONE|NONE|I01|NONE
R02|Главный коридор|Длинный темный коридор. На стенах следы когтей и засохшая слизь|R03|R01|R04|NONE|E01|NONE|NONE
R03|Медотсек|Скромная разгромленная комната. Запах спёртый. Рядом с каталкой стоит шкафчик|NONE|R02|NONE|NONE|E02|I02|CABINET
R04|Склад оборудования|Забитое ящиками помещение. Слышен скрежет металла с востока|NONE|NONE|R05|R02|E02|I04|NONE
R05|Вентиляционная шахта|Узкий проход в стене. Можно ползти на юг или восток|NONE|R04|R06|NONE|E02|NONE|VENT
R06|Серверная|Ряды гудящих стоек. Мигают индикаторы ошибок. Выходы на запад и север|R07|NONE|NONE|R05|E03|NONE|CABLE
R07|Оранжерея|Разбитые стекла, мутировавшие растения. Воздух спертый|NONE|R06|R08|NONE|E04|I05|NONE
R08|Жилые каюты|Личные вещи раскиданы на полу, а на стенах видны вмятины от ударов. Возле прохода стоит большой шкаф|NONE|NONE|R09|R07|NONE|NONE|CABINET
R09|Реакторная|Гул давит на грудь. Датчики мигают «РАДИАЦИЯ». Дальше — гермодвери|NONE|NONE|R10|R08|E05|NONE|STEAM
R10|Тамбур гермодверей|Две двери, две лампы, один шанс. По стеклу тянется мутный след, будто что-то уползло недавно|NONE|NONE|R11|R09|NONE|I07|NONE
R11|Карантинный коридор|Желтые полосы «BIOHAZARD». Из решеток тянет кислым и влажным, как из пасти|R12|R13|R14|R10|E06|NONE|NONE
R12|Карантинная камера|Смятые ремни фиксации, на полу — сухие брызги. Кто-то очень не хотел оставаться внутри|NONE|R11|NONE|NONE|E07|I08|NONE
R13|Узел жизнеобеспечения|Фильтры забиты чем-то темным. Вентиляторы крутят воздух через хрип и кашель станции|R11|NONE|R15|NONE|E08|I11|NONE
R14|Грузовой ангар|Контейнеры вскрыты, тросы болтаются. В углу — следы, как от тяжелых когтей|R17|NONE|R16|R11|E09|I10|NONE
R15|Комната связи|Мониторы ловят только снег. На консоли — оставленное сообщение, обрубленное на полуслове|NONE|NONE|R17|R13|E10|I09|CABLE
R16|Склад топлива|Пахнет химикатами и ржавым металлом. С потолка капает конденсат, трубы шыпят|NONE|NONE|R18|R14|E11|I12|STEAM
R17|Оружейная|Дверь сорвана, пустые крепления на стене. Но не всё успели забрать…|NONE|R14|R19|R15|E12|I06|NONE
R18|EVA-предкамера|Шкафы со скафандрами распахнуты. На стекле шлема отпечаток ладони изнутри|NONE|NONE|R19|R16|NONE|I11|NONE
R19|Внешняя галерея|Тонкий проход вдоль обшивки. За иллюминатором — черная бездна, а в ней что-то шевелится слишком близко|NONE|NONE|R20|R18|E11|NONE|NONE
R20|Шлюзовая капсула|Спасательная капсула на стартовом замке. Панель мигает зеленым, но просит ключ-карту|NONE|NONE|NONE|R19|NONE|I03|NONE
